,X,Y,Z
219,38.926,120.373,1.738
220,39.336,125.055,1.738
221,39.745,129.737,1.738
222,43.198,115.281,1.738
223,43.608,119.963,1.738
224,44.018,124.645,1.738
225,44.427,129.327,1.738
226,47.881,114.871,1.738
227,48.29,119.553,1.738
228,48.7,124.236,1.738
229,49.109,128.918,1.738
230,52.563,114.462,1.738
231,52.972,119.144,1.738
232,53.382,123.826,1.738
233,53.792,128.508,1.738
234,-169.039,11.99,15.476
235,-175.583,11.334,15.705
236,-181.69,10.831,16.801
237,-187.911,10.147,19.343
238,-191.834,9.824,23.51
239,-168.417,4.877,15.476
240,-174.749,4.243,15.696
241,-181.275,3.704,16.862
242,-186.723,3.112,19.066
243,-191.395,2.713,23.975
244,-169.819,20.907,27.509
245,-176.383,19.838,27.509
246,-182.662,18.156,27.509
247,-188.855,15.46,27.509
248,-169.632,18.767,20.696
249,-175.827,17.763,20.696
250,-182.106,16.081,20.696
251,-167.639,-4.013,27.53
252,-174.289,-4.1,27.53
253,-180.764,-3.533,27.53
254,-187.331,-1.953,27.53
255,-167.826,-1.872,20.716
256,-174.102,-1.96,20.716
257,-180.577,-1.393,20.716
258,-163.344,21.474,27.509
259,-163.157,19.334,20.696
260,-162.564,12.557,15.476
261,-161.941,5.444,15.476
262,-161.351,-1.306,20.716
263,-161.164,-3.446,27.53
264,-130.012,4.78,14.938
265,-134.694,4.371,14.938
266,-139.376,3.961,14.938
267,-144.058,3.551,14.938
268,-130.422,9.462,14.938
269,-135.104,9.053,14.938
270,-139.786,8.643,14.938
271,-144.468,8.233,14.938
272,-130.831,14.144,14.938
273,-135.513,13.735,14.938
274,-140.196,13.325,14.938
275,-144.878,12.916,14.938
276,-131.241,18.827,14.938
277,-135.923,18.417,14.938
278,-140.605,18.007,14.938
279,-145.287,17.598,14.938
280,-92.782,22.119,14.938
281,-88.099,22.529,14.938
282,-83.417,22.938,14.938
283,-78.735,23.348,14.938
284,-92.372,17.437,14.938
285,-87.69,17.847,14.938
286,-83.008,18.256,14.938
287,-78.326,18.666,14.938
288,-91.962,12.755,14.938
289,-87.28,13.164,14.938
290,-82.598,13.574,14.938
291,-77.916,13.984,14.938
292,-91.553,8.073,14.938
293,-86.871,8.482,14.938
294,-82.188,8.892,14.938
295,-77.506,9.302,14.938
296,-4.743,85.2,-2.7
297,-11.993,85.2,-2.7
298,-19.243,85.2,-2.7
299,-26.493,85.2,-2.7
300,-33.743,85.2,-2.7
301,-40.993,85.2,-2.7
302,-4.743,77.95,-2.7
303,-11.993,77.95,-2.7
304,-19.243,77.95,-2.7
305,-26.493,77.95,-2.7
306,-33.743,77.95,-2.7
307,-40.993,77.95,-2.7
308,-4.743,70.7,-2.7
309,-11.993,70.7,-2.7
310,-19.243,70.7,-2.7
311,-26.493,70.7,-2.7
312,-33.743,70.7,-2.7
313,-40.993,70.7,-2.7
314,-4.743,63.45,-2.7
315,-11.993,63.45,-2.7
316,-19.243,63.45,-2.7
317,-26.493,63.45,-2.7
318,-33.743,63.45,-2.7
319,-40.993,63.45,-2.7
320,4.757,63.45,-2.7
321,12.007,63.45,-2.7
322,19.257,63.45,-2.7
323,26.507,63.45,-2.7
324,33.757,63.45,-2.7
325,41.007,63.45,-2.7
326,4.757,70.7,-2.7
327,12.007,70.7,-2.7
328,19.257,70.7,-2.7
329,26.507,70.7,-2.7
330,33.757,70.7,-2.7
331,41.007,70.7,-2.7
332,4.757,77.95,-2.7
333,12.007,77.95,-2.7
334,19.257,77.95,-2.7
335,26.507,77.95,-2.7
336,33.757,77.95,-2.7
337,41.007,77.95,-2.7
338,4.757,85.2,-2.7
339,12.007,85.2,-2.7
340,19.257,85.2,-2.7
341,26.507,85.2,-2.7
342,33.757,85.2,-2.7
343,41.007,85.2,-2.7
344,4.757,32.45,-2.7
345,12.007,32.45,-2.7
346,19.257,32.45,-2.7
347,26.507,32.45,-2.7
348,33.757,32.45,-2.7
349,41.007,32.45,-2.7
350,4.757,39.7,-2.7
351,12.007,39.7,-2.7
352,19.257,39.7,-2.7
353,26.507,39.7,-2.7
354,33.757,39.7,-2.7
355,41.007,39.7,-2.7
356,4.757,46.95,-2.7
357,12.007,46.95,-2.7
358,19.257,46.95,-2.7
359,26.507,46.95,-2.7
360,33.757,46.95,-2.7
361,41.007,46.95,-2.7
362,4.757,54.2,-2.7
363,12.007,54.2,-2.7
364,19.257,54.2,-2.7
365,26.507,54.2,-2.7
366,33.757,54.2,-2.7
367,41.007,54.2,-2.7
